,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
86,"frozenset({'C', 'F'})",frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
87,frozenset({'B'}),"frozenset({'C', 'F'})",0.891891892,1,0.891891892,1,1,0,inf
88,frozenset({'C'}),"frozenset({'B', 'F'})",1,0.891891892,0.891891892,0.891891892,1,0,1
89,frozenset({'F'}),"frozenset({'B', 'C'})",1,0.891891892,0.891891892,0.891891892,1,0,1
90,"frozenset({'B', 'G'})",frozenset({'C'}),0.891891892,1,0.891891892,1,1,0,inf
91,"frozenset({'B', 'C'})",frozenset({'G'}),0.891891892,1,0.891891892,1,1,0,inf
92,"frozenset({'G', 'C'})",frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
93,frozenset({'B'}),"frozenset({'G', 'C'})",0.891891892,1,0.891891892,1,1,0,inf
94,frozenset({'G'}),"frozenset({'B', 'C'})",1,0.891891892,0.891891892,0.891891892,1,0,1
95,frozenset({'C'}),"frozenset({'B', 'G'})",1,0.891891892,0.891891892,0.891891892,1,0,1
96,"frozenset({'B', 'C'})",frozenset({'H'}),0.891891892,1,0.891891892,1,1,0,inf
97,"frozenset({'B', 'H'})",frozenset({'C'}),0.891891892,1,0.891891892,1,1,0,inf
98,"frozenset({'C', 'H'})",frozenset({'B'}),1,0.891891892,0.891891892,0.891891892,1,0,1
99,frozenset({'B'}),"frozenset({'C', 'H'})",0.891891892,1,0.891891892,1,1,0,inf
100,frozenset({'C'}),"frozenset({'B', 'H'})",1,0.891891892,0.891891892,0.891891892,1,0,1
101,frozenset({'H'}),"frozenset({'B', 'C'})",1,0.891891892,0.891891892,0.891891892,1,0,1
102,"frozenset({'B', 'C'})",frozenset({'I'}),0.891891892,0.972972973,0.864864865,0.96969697,0.996632997,-0.002921841,0.891891892
103,"frozenset({'B', 'I'})",frozenset({'C'}),0.864864865,1,0.864864865,1,1,0,inf
104,"frozenset({'C', 'I'})",frozenset({'B'}),0.972972973,0.891891892,0.864864865,0.888888889,0.996632997,-0.002921841,0.972972973
105,frozenset({'B'}),"frozenset({'C', 'I'})",0.891891892,0.972972973,0.864864865,0.96969697,0.996632997,-0.002921841,0.891891892
106,frozenset({'C'}),"frozenset({'B', 'I'})",1,0.864864865,0.864864865,0.864864865,1,0,1
107,frozenset({'I'}),"frozenset({'B', 'C'})",0.972972973,0.891891892,0.864864865,0.888888889,0.996632997,-0.002921841,0.972972973
108,"frozenset({'B', 'J'})",frozenset({'C'}),0.864864865,1,0.864864865,1,1,0,inf
109,"frozenset({'B', 'C'})",frozenset({'J'}),0.891891892,0.945945946,0.864864865,0.96969697,1.025108225,0.021183346,1.783783784
110,"frozenset({'J', 'C'})",frozenset({'B'}),0.945945946,0.891891892,0.864864865,0.914285714,1.025108225,0.021183346,1.261261261
